movieID,title,genres,data,image_link
0,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
1,Jumanji,"['Adventure', 'Children', 'Fantasy']",1995,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
2,Grumpier Old Men,"['Comedy', 'Romance']",1995,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
3,Father of the Bride Part II,['Comedy'],1995,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
4,Heat,"['Action', 'Crime', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
5,Sabrina,"['Comedy', 'Romance']",1995,https://image.tmdb.org/t/p/w500/r8woenvB9eqnlgXDzSt3pWTfWzq.jpg
6,GoldenEye,"['Action', 'Adventure', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
7,The American President,"['Comedy', 'Drama', 'Romance']",1995,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
8,Casino,"['Crime', 'Drama']",1995,https://image.tmdb.org/t/p/w500/4TS5O1IP42bY2BvgMxL156EENy.jpg
9,Sense and Sensibility,"['Drama', 'Romance']",1995,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
10,Ace Ventura: When Nature Calls,['Comedy'],1995,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
11,Get Shorty,"['Comedy', 'Crime', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
12,Leaving Las Vegas,"['Drama', 'Romance']",1995,https://image.tmdb.org/t/p/w500/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg
13,Twelve Monkeys,"['Mystery', 'Sci-Fi', 'Thriller']",1991,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
14,Babe,"['Children', 'Drama']",1995,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
15,Dead Man Walking,"['Crime', 'Drama']",1995,https://image.tmdb.org/t/p/w500/njn4FAjosndf9Y13zgflCK0DI9o.jpg
16,Clueless,"['Comedy', 'Romance']",1995,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
17,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",1995,https://image.tmdb.org/t/p/w500/ybrX94xQm8lXYpZAPRmwD9iIbWP.jpg
18,Se7en,"['Mystery', 'Thriller']",1991,https://image.tmdb.org/t/p/w500/h7904tdTu4O6EVX4UyesxtqF0xR.jpg
19,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995,https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
20,Usual Suspect,"['Crime', 'Mystery', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg
21,The Postman,"['Comedy', 'Drama', 'Romance']",1991,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
22,Mr. Holland's Opus,['Drama'],1995,https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
23,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",1996,https://image.tmdb.org/t/p/w500/uBoQytp3KTQFaVqTe6d0ECGaKh9.jpg
24,Broken Arrow,"['Action', 'Adventure', 'Thriller']",1996,https://image.tmdb.org/t/p/w500/2AlvHCeaZtFeR2H0IDoa2BmXOyK.jpg
25,Happy Gilmore,['Comedy'],1996,https://image.tmdb.org/t/p/w500/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
26,Braveheart,"['Action', 'Drama', 'War']",1995,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg
27,Rumble in the Bronx,"['Action', 'Adventure', 'Comedy', 'Crime']",1991,https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg
28,The Birdcage,['Comedy'],1996,https://image.tmdb.org/t/p/w500/AudXaWqKI4Bb9xIsyjTeQCTxJId.jpg
29,Bad Boys,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg
30,Apollo 13,"['Adventure', 'Drama', 'IMAX']",1995,https://image.tmdb.org/t/p/w500/oYUZHYMwNKnE1ef4WE5Hw2a9OAY.jpg
31,Rob Roy,"['Action', 'Drama', 'Romance', 'War']",1995,https://image.tmdb.org/t/p/w500/kWI2rF6RAnRtEjfBlZgsXumgOm5.jpg
32,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",1995,https://image.tmdb.org/t/p/w500/mzzNBVwTiiY94xAXDMWJpNPW2US.jpg
33,Casper,"['Adventure', 'Children']",1995,https://image.tmdb.org/t/p/w500/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg
34,Congo,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",1995,https://image.tmdb.org/t/p/w500/hPNSToNIIpRO6y5Rh973leqQqNr.jpg
35,Crimson Tide,"['Drama', 'Thriller', 'War']",1995,https://image.tmdb.org/t/p/w500/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg
36,Desperado,"['Action', 'Romance', 'Western']",1995,https://image.tmdb.org/t/p/w500/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg
37,Die Hard: With a Vengeance,"['Action', 'Crime', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/buqmCdFQEWwEpL3agGgg2GVjN2d.jpg
38,First Knight,"['Action', 'Drama', 'Romance']",1995,https://image.tmdb.org/t/p/w500/xuXkCcrvUTkehVXuTGpnfySsx0Z.jpg
39,Johnny Mnemonic,"['Action', 'Sci-Fi', 'Thriller']",1995,https://image.tmdb.org/t/p/w500/iH8Jgi8qvb7pnBfI8fVGaUbyRna.jpg
40,Judge Dredd,"['Action', 'Crime', 'Sci-Fi']",1995,https://image.tmdb.org/t/p/w500/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg
41,Kaguya-sama,"['Animation', 'Comedy', 'Romance']",2022,https://image.tmdb.org/t/p/w500/jY092qLqa7qTMelwRiNPpLUolEz.jpg
